Matricola,idSubject,Mark
670000,s001,25
670000,s006,20
670000,s007,20
670000,s009,24
670001,s001,25
670001,s002,27
670001,s003,27
670001,s004,18
670001,s005,24
670001,s006,30
670001,s007,30
670001,s008,25
670001,s009,22
670001,s010,26
670001,s011,23
670001,s012,28
670001,s013,21
670001,s014,28
670001,s016,29
670001,s017,23
670001,s018,29
670001,s019,28
670001,s023,29
670001,s024,23
670001,s025,20
670001,s026,22
670001,s027,24
670002,s002,27
670002,s005,25
670002,s007,27
670002,s010,28
670002,s012,26
670002,s013,24
670002,s014,25
670002,s015,20
670002,s017,19
670002,s024,30
670002,s025,21
670002,s026,28
670002,s029,18
670003,s001,25
670003,s002,19
670003,s003,22
670003,s004,19
670003,s005,18
670003,s006,26
670003,s007,30
670003,s008,22
670003,s009,29
670003,s010,22
670003,s011,29
670003,s012,21
670003,s013,20
670003,s014,30
670003,s016,28
670003,s017,19
670003,s018,24
670003,s019,25
670003,s023,24
670003,s024,30
670003,s025,27
670003,s026,28
670003,s027,26
670004,s001,27
670004,s005,28
670005,s003,29
670005,s008,18
670005,s012,29
670005,s013,18
670005,s017,29
670005,s018,23
670005,s020,24
670005,s026,18
670005,s027,18
670006,s001,18
670006,s004,22
670006,s006,21
670006,s009,28
670006,s010,19
670006,s012,30
670006,s014,21
670006,s018,19
670006,s019,29
670006,s020,22
670007,s001,25
670007,s002,24
670007,s003,20
670007,s004,18
670007,s005,20
670007,s009,25
670007,s010,23
670007,s011,21
670007,s012,29
670007,s014,25
670007,s017,28
670007,s018,25
670007,s019,23
670007,s024,21
670007,s026,30
670007,s028,20
670008,s001,21
670008,s003,30
670008,s005,29
670008,s007,27
670008,s008,27
670008,s009,26
670008,s010,20
670008,s012,28
670008,s013,29
670008,s015,25
670008,s017,22
670008,s018,27
670008,s019,18
670008,s020,23
670009,s001,26
670009,s003,26
670009,s004,24
670009,s005,21
670009,s006,24
670009,s008,25
670009,s010,21
670010,s003,18
670010,s005,30
670010,s007,25
670010,s008,19
670010,s010,28
670011,s002,23
670011,s006,21
670011,s009,18
670011,s010,30
670012,s004,18
670012,s007,29
670012,s009,23
670012,s010,25
670013,s001,21
670013,s002,28
670013,s003,25
670013,s004,24
670013,s005,27
670013,s006,20
670013,s007,28
670013,s008,23
670013,s009,25
670013,s010,26
670013,s011,25
670013,s012,28
670013,s013,30
670013,s014,18
670013,s016,28
670013,s017,25
670013,s018,24
670013,s019,18
670013,s023,24
670013,s024,26
670013,s025,20
670013,s026,29
670013,s027,18
670014,s001,20
670014,s002,28
670014,s003,27
670014,s004,21
670014,s005,29
670014,s006,26
670014,s007,18
670014,s008,23
670014,s009,23
670014,s010,24
670014,s011,21
670014,s012,24
670014,s013,26
670014,s014,20
670014,s015,23
670014,s016,26
670014,s017,21
670014,s018,26
670014,s019,20
670014,s023,20
670014,s024,24
670014,s025,21
670014,s026,23
670014,s027,22
670015,s001,18
670015,s002,23
670015,s003,30
670015,s006,22
670015,s008,29
670015,s009,22
670015,s010,27
670015,s012,25
670015,s017,21
670015,s018,24
670015,s019,29
670015,s020,23
670016,s001,18
670016,s002,29
670016,s003,20
670016,s004,19
670016,s005,21
670016,s006,27
670016,s007,28
670016,s008,29
670016,s009,19
670016,s010,23
670016,s011,23
670016,s012,25
670016,s013,23
670016,s014,25
670016,s016,24
670016,s017,24
670016,s018,30
670016,s019,26
670016,s023,24
670016,s024,27
670016,s025,22
670016,s026,29
670016,s027,27
670017,s001,19
670017,s006,27
670017,s007,20
670017,s009,26
670017,s010,20
670017,s011,21
670017,s012,24
670017,s014,28
670017,s017,22
670017,s018,21
670017,s019,22
670017,s022,25
670018,s001,23
670018,s002,29
670018,s003,18
670018,s004,18
670018,s005,20
670018,s006,29
670018,s007,24
670018,s008,22
670018,s009,27
670018,s010,19
670018,s011,21
670018,s012,25
670018,s013,19
670018,s014,29
670018,s015,22
670018,s016,27
670018,s017,28
670018,s018,24
670018,s019,22
670018,s021,18
670018,s023,22
670018,s024,21
670018,s025,29
670018,s026,27
670018,s027,27
670019,s003,24
670019,s004,22
670019,s005,19
670019,s006,22
670019,s008,19
670019,s009,30
670019,s011,21
670019,s016,18
670019,s017,25
670019,s020,18
670019,s025,28
670019,s026,21
670020,s003,21
670020,s004,26
670020,s005,21
670020,s006,25
670020,s007,29
670020,s008,23
670020,s009,20
670020,s010,29
670021,s001,30
670021,s006,20
670021,s008,26
670021,s009,24
670021,s011,28
670021,s012,28
670021,s014,23
670021,s016,29
670021,s017,27
670021,s018,30
670021,s021,19
670022,s001,20
670022,s002,22
670022,s004,30
670022,s005,30
670022,s006,30
670022,s007,19
670022,s008,27
670022,s009,22
670022,s011,20
670022,s012,29
670022,s015,20
670022,s019,27
670022,s021,23
670023,s003,27
670023,s004,30
670023,s006,21
670023,s007,20
670023,s009,19
670023,s012,26
670023,s013,24
670023,s017,30
670023,s018,30
670023,s019,29
670023,s020,20
670023,s024,29
670024,s003,26
670024,s004,21
670024,s006,24
670024,s007,19
670024,s010,27
670024,s013,22
670024,s014,28
670024,s017,19
670024,s018,20
670024,s019,24
670024,s020,27
670024,s024,30
670024,s025,21
670024,s027,19
670025,s001,23
670025,s005,28
670025,s006,24
670025,s007,21
670025,s008,30
670025,s009,27
670025,s012,30
670025,s013,23
670025,s014,26
670025,s017,21
670025,s018,30
670025,s019,26
670025,s020,29
670025,s024,23
670025,s025,20
670025,s026,25
670025,s027,19
670026,s002,26
670026,s004,22
670026,s007,20
670026,s008,24
670026,s013,23
670026,s014,28
670026,s017,29
670026,s019,29
670027,s003,23
670027,s007,19
670027,s010,25
670027,s013,27
670027,s016,27
670027,s017,26
670027,s019,18
670027,s020,29
670027,s026,18
670028,s001,29
670028,s003,26
670028,s004,21
670028,s006,20
670028,s007,18
670028,s008,20
670028,s010,23
670028,s011,18
670028,s016,27
670028,s021,30
670029,s001,30
670029,s002,24
670029,s003,19
670029,s004,22
670029,s007,23
670029,s009,30
670029,s010,29
670030,s002,20
670030,s003,27
670030,s007,29
670030,s009,26
670030,s010,23
670030,s011,30
670030,s013,18
670030,s016,21
670030,s017,21
670030,s018,21
670030,s019,25
670030,s021,22
670030,s025,22
670030,s026,25
670031,s001,28
670031,s002,20
670031,s003,30
670031,s004,21
670031,s005,25
670031,s006,20
670031,s007,22
670031,s008,25
670031,s009,20
670031,s010,29
670031,s011,28
670031,s012,21
670031,s013,19
670031,s014,26
670031,s016,29
670031,s017,19
670031,s018,21
670031,s019,29
670031,s023,23
670031,s024,28
670031,s025,22
670031,s026,19
670031,s027,29
670032,s001,28
670032,s002,24
670032,s007,30
670032,s008,26
670032,s010,28
670032,s011,27
670032,s012,22
670032,s013,18
670032,s018,21
670032,s022,23
670032,s023,28
670032,s024,19
670032,s025,29
670033,s001,26
670033,s002,22
670033,s003,25
670033,s005,25
670033,s008,30
670033,s016,28
670033,s018,18
670033,s023,30
670033,s024,26
670033,s025,30
670033,s028,27
670034,s001,22
670034,s002,23
670034,s003,24
670034,s004,19
670034,s006,18
670034,s008,26
670034,s010,27
670034,s012,22
670034,s013,29
670034,s014,24
670034,s017,25
670034,s019,30
670034,s021,28
670034,s026,25
670034,s027,26
670035,s004,29
670035,s005,21
670035,s009,23
670035,s010,25
670036,s001,26
670036,s002,25
670036,s003,25
670036,s004,29
670036,s005,29
670036,s006,26
670036,s007,30
670036,s008,24
670036,s009,22
670036,s010,25
670036,s011,23
670036,s012,24
670036,s013,19
670036,s014,22
670036,s016,22
670036,s017,20
670036,s018,21
670036,s019,27
670036,s023,22
670036,s024,20
670036,s025,22
670036,s026,26
670036,s027,23
670037,s003,30
670037,s006,30
670037,s007,25
670037,s008,19
670037,s010,28
670037,s011,24
670037,s014,30
670037,s017,23
670037,s018,26
670037,s020,22
670038,s001,27
670038,s004,21
670038,s006,28
670038,s008,20
670038,s010,29
670038,s014,26
670038,s017,24
670038,s021,25
670038,s024,28
670038,s026,30
670039,s003,28
670039,s010,29
670039,s013,23
670039,s014,23
670039,s016,24
670039,s017,27
670039,s021,21
670040,s002,26
670040,s003,18
670040,s004,25
670040,s006,23
670040,s007,30
670040,s009,19
670040,s010,23
670040,s011,30
670040,s012,18
670040,s013,19
670040,s014,28
670040,s016,29
670040,s020,28
670041,s001,19
670041,s002,28
670041,s004,20
670041,s005,29
670041,s008,22
670041,s009,25
670041,s010,23
670041,s013,25
670041,s015,22
670041,s016,30
670041,s017,22
670041,s020,18
670041,s023,19
670041,s026,20
670042,s001,27
670042,s002,29
670042,s003,20
670042,s005,20
670042,s007,29
670042,s012,29
670042,s013,27
670042,s015,18
670042,s016,18
670042,s017,30
670042,s023,24
670042,s026,20
670042,s028,28
670043,s001,29
670043,s003,23
670043,s007,26
670043,s009,28
670043,s010,25
670043,s011,27
670043,s018,28
670043,s019,30
670043,s020,30
670043,s026,28
670043,s027,24
670044,s001,22
670044,s002,27
670044,s003,22
670044,s007,26
670044,s009,18
670044,s011,27
670044,s014,19
670044,s018,23
670044,s021,19
670045,s001,27
670045,s002,24
670045,s003,28
670045,s006,28
670045,s008,27
670045,s009,28
670045,s011,19
670045,s014,24
670045,s020,27
670045,s025,19
670045,s026,19
670046,s001,19
670046,s002,25
670046,s003,22
670046,s004,24
670046,s005,18
670046,s006,26
670046,s007,28
670046,s008,19
670046,s009,21
670046,s010,28
670046,s011,27
670046,s012,18
670046,s013,22
670046,s014,28
670046,s016,30
670046,s017,22
670046,s018,30
670046,s019,30
670046,s023,27
670046,s024,30
670046,s025,26
670046,s026,19
670046,s027,18
670047,s001,24
670047,s002,29
670047,s003,23
670047,s004,20
670047,s005,22
670047,s006,25
670047,s007,23
670047,s008,28
670047,s009,23
670047,s010,27
670047,s011,24
670047,s012,19
670047,s013,29
670047,s014,29
670047,s016,30
670047,s017,27
670047,s018,26
670047,s019,21
670047,s023,26
670047,s024,24
670047,s025,18
670047,s026,29
670047,s027,20
670048,s003,20
670048,s004,24
670048,s005,19
670048,s006,19
670048,s009,18
670048,s010,29
670048,s013,28
670048,s014,29
670048,s018,24
670048,s022,18
670048,s023,29
670048,s025,29
670048,s026,19
670049,s003,23
670049,s004,27
670049,s008,23
670049,s010,21
670050,s002,30
670050,s004,18
670050,s009,29
670050,s019,30
670050,s020,21
670050,s024,29
670050,s027,26
