Matricola,idSubject,Mark
670000,s001,24
670000,s004,25
670000,s007,25
670000,s008,23
670000,s009,30
670000,s010,28
670000,s003,20
670001,s001,25
670001,s003,18
670001,s004,21
670001,s009,23
670001,s010,23
670001,s005,29
670002,s001,18
670002,s002,21
670002,s016,23
670002,s008,28
670002,s009,20
670002,s004,28
670002,s017,24
670002,s021,24
670002,s010,30
670002,s027,24
670002,s012,18
670002,s025,18
670002,s024,26
670002,s026,24
670003,s001,30
670003,s002,19
670003,s003,22
670003,s006,25
670003,s011,30
670003,s013,18
670003,s016,21
670003,s017,23
670003,s018,19
670003,s019,26
670003,s025,21
670003,s028,28
670003,s010,27
670003,s007,26
670004,s009,18
670004,s008,21
670004,s007,28
670004,s006,20
670004,s005,23
670004,s003,25
670004,s001,22
670005,s005,23
670005,s001,19
670005,s010,28
670006,s003,22
670006,s001,19
670006,s018,22
670006,s006,25
670006,s008,21
670006,s002,26
670006,s011,25
670006,s013,30
670006,s014,26
670006,s016,25
670006,s020,21
670006,s017,24
670007,s006,19
670007,s021,24
670007,s017,25
670007,s015,18
670007,s013,26
670007,s008,22
670007,s007,21
670007,s005,25
670007,s009,24
670007,s016,20
670008,s024,29
670008,s018,21
670008,s013,27
670008,s010,21
670008,s008,21
670008,s007,19
670008,s004,20
670008,s003,26
670008,s002,20
670008,s001,25
670008,s023,29
670008,s019,30
670008,s022,24
670008,s027,19
670009,s013,18
670009,s002,21
670009,s003,20
670009,s019,30
670009,s006,23
670009,s007,20
670009,s014,26
670009,s008,29
670009,s010,27
670010,s009,18
670010,s027,21
670010,s025,27
670010,s024,26
670010,s001,30
670010,s013,21
670010,s008,18
670010,s018,24
670010,s020,19
670011,s004,21
670011,s001,22
670011,s006,18
670011,s007,22
670011,s009,29
670011,s011,25
670011,s015,28
670011,s016,22
670011,s017,27
670011,s019,28
670011,s003,23
670011,s020,27
670011,s025,25
670011,s027,18
670011,s024,21
670011,s005,21
670012,s006,21
670012,s005,26
670012,s004,30
670012,s003,27
670012,s002,29
670012,s029,29
670012,s010,27
670012,s024,29
670012,s022,20
670012,s019,23
670012,s018,19
670012,s016,21
670012,s014,19
670012,s012,22
670012,s011,27
670012,s023,26
670012,s009,27
670012,s007,25
670012,s015,19
670012,s017,28
670013,s012,29
670013,s011,24
670013,s010,23
670013,s006,23
670013,s019,22
670013,s004,21
670013,s003,22
670013,s002,23
670013,s014,20
670013,s005,18
670013,s016,29
670013,s024,24
670013,s023,25
670013,s028,19
670013,s029,28
670013,s018,19
670013,s026,21
670014,s025,22
670014,s024,30
670014,s020,18
670014,s017,22
670014,s002,27
670014,s003,20
670014,s005,28
670014,s006,21
670014,s019,30
670014,s018,27
670014,s027,23
670014,s016,18
670014,s014,20
670014,s010,27
670014,s001,22
670014,s009,20
670014,s008,27
670015,s018,20
670015,s022,26
670015,s027,23
670015,s026,20
670015,s025,25
670015,s001,29
670015,s016,28
670015,s007,20
670015,s010,22
670015,s012,20
670015,s023,27
670015,s017,21
670015,s005,18
670016,s019,27
670016,s023,19
670016,s024,23
670016,s028,20
670016,s002,28
670016,s003,25
670016,s004,21
670016,s005,30
670016,s006,18
670016,s010,24
670016,s011,27
670016,s029,25
670016,s018,22
670016,s014,26
670016,s016,18
670016,s012,27
670016,s001,26
670016,s007,22
670016,s008,21
670016,s013,27
670016,s025,26
670016,s027,24
670017,s018,30
670017,s020,28
670017,s009,26
670017,s014,21
670017,s008,24
670017,s003,19
670017,s001,29
670018,s005,24
670018,s006,28
670018,s002,21
670018,s001,27
670018,s003,26
670018,s025,18
670018,s020,26
670018,s014,23
670018,s016,28
670018,s019,19
670018,s009,22
670018,s024,27
670018,s011,30
670018,s013,21
670018,s010,19
670019,s012,27
670019,s014,23
670019,s016,26
670019,s006,19
670019,s002,19
670019,s009,26
670019,s007,28
670019,s024,21
670019,s019,21
670019,s020,24
670019,s023,29
670020,s014,23
670020,s016,19
670020,s007,19
670020,s005,28
670020,s004,28
670020,s010,23
670020,s011,29
670020,s027,24
670020,s025,18
